ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
157,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial selama tahun 2002,Kegiatan Kita Peduli 2002,,publish,open,open,,Kegiatan Kita Peduli 2002,,,,,,,http://localhost/pedulikasih/?p=157,1,post,,1
158,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial selama tahun 2003,Kegiatan Kita Peduli 2003,,publish,open,open,,Kegiatan Kita Peduli 2003,,,,,,,http://localhost/pedulikasih/?p=158,2,post,,2
159,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial selama 2004,Kegiatan Kita Peduli 2004,,publish,open,open,,Kegiatan Kita Peduli 2004,,,,,,,http://localhost/pedulikasih/?p=159,3,post,,3
160,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial selama 2006,Kegiatan Kita Peduli 2006,,publish,open,open,,Kegiatan Kita Peduli 2006,,,,,,,http://localhost/pedulikasih/?p=160,4,post,,4
161,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial selama 2008,Kegiatan Kita Peduli 2008,,publish,open,open,,Kegiatan Kita Peduli 2008,,,,,,,http://localhost/pedulikasih/?p=161,5,post,,5
162,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial selama tahun 2009,Kegiatan Kita Peduli 2009,,publish,open,open,,Kegiatan Kita Peduli 2009,,,,,,,http://localhost/pedulikasih/?p=162,6,post,,6
163,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial selama tahun 2010,Kegiatan Kita Peduli 2010,,publish,open,open,,Kegiatan Kita Peduli 2010,,,,,,,http://localhost/pedulikasih/?p=163,7,post,,7
164,1,28-02-16 5:24,28-02-16 5:24,Bakti Sosial Kita Peduli Korban Banjir Jakarta.,Bakti Sosial Korban Banjir Jakarta,,publish,open,open,,Bakti Sosial Korban Banjir Jakarta,,,,,,,http://localhost/pedulikasih/?p=164,8,post,,8
165,1,28-02-16 5:24,28-02-16 5:24,Bakti Sosial Kita Peduli Penyerahan Bantuan Logistik: 5 Februari 2013,Bakti Sosial Penyerahan Bantuan Logistik,,publish,open,open,,Bakti Sosial Penyerahan Bantuan Logistik,,,,,,,http://localhost/pedulikasih/?p=165,9,post,,9
166,1,28-02-16 5:24,28-02-16 5:24,Bakti Sosial Kita Peduli Penyerahan Bantuan Logistik 9 Februari 2013,Bakti Sosial Penyerahan Bantuan Logistik,,publish,open,open,,Bakti Sosial Penyerahan Bantuan Logistik,,,,,,,http://localhost/pedulikasih/?p=166,10,post,,10
