ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
1,1,20-02-16 6:16,20-02-16 6:16,"Welcome to WordPress. This is your first post. Edit or delete it, then start writing!",Hello world!,,trash,open,open,,hello-world,,,21-02-16 11:01,21-02-16 11:01,,0,http://localhost/pedulikasih/backend/?p=1,0,post,,1
2,1,20-02-16 6:16,20-02-16 6:16,"This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:

<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</blockquote>

...or something like this:

<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote>

As a new WordPress user, you should go to <a href=""http://localhost/pedulikasih/backend/wp-admin/"">your dashboard</a> to delete this page and create new pages for your content. Have fun!",Sample Page,,publish,closed,open,,sample-page,,,20-02-16 6:16,20-02-16 6:16,,0,http://localhost/pedulikasih/backend/?page_id=2,0,page,,0
6,1,20-02-16 7:37,0000-00-00 00:00:00, ,,,draft,closed,closed,,,,,20-02-16 7:37,0000-00-00 00:00:00,,0,http://localhost/pedulikasih/?p=6,1,nav_menu_item,,0
7,1,20-02-16 7:43,20-02-16 7:43,"Merujuk kepada Dasar Negara Republik Indonesia, Pancasila, dan alenia ke-4 Pembukaan Undang-Undang Dasar 1945, serta didorong oleh keinginan luhur untuk turut serta mewujudkan bangsa yang mandiri dan sejahtera, maka Perseroan tidak berhenti pada pencarian keuntungan finansial semata, tetapi juga berupaya memberikan sumbangsih bagi masyarakat banyak sesuai dengan tanggung jawab sosial perusahaan.

Wujud tanggung jawab sosial Perseroan dimulai sejak awal pendirian, berangkat dari lingkungan sekitar dan terus berkembang hingga menggapai seluruh masyarakat Indonesia tanpa terkecuali. Sebagai media penyampai informasi yang memiliki kemampuan menjangkau jutaan pemirsa secara cepat pada saat yang bersamaan, Perseroan senantiasa merasa terpanggil untuk memberikan kontribusi lebih bagi masyarakat Indonesia. Dengan dana yang berasal dari Perseroan dan kedermawanan sosial masyarakat (filantropi) yang digalang oleh Perseroan sebagai wujud kepedulian sosial serta bagian dari fungsi dan peran sosial media massa, Perseroan menyelenggarakan tiga program, yaitu : <a href=""http://www.indosiar.com/pedulikasih"">Peduli Kasih</a>, <a href=""http://www.indosiar.com/kitapeduli"">Kita Peduli</a>, dan <a href=""http://www.indosiar.com/pedulikomunitas"">Peduli Komunitas</a> di bawah payung Indosiar Peduli. Demi menjaga transparansi dan akuntabilitas, Laporan Keuangan Indosiar Peduli diaudit secara berkala oleh Kantor Akuntan Publik Independen. Seluruh dana yang dihimpun dari pemirsa dapat dipantau melalui <i>website</i> <a href=""http://www.indosiar.com"">www.indosiar.com</a>",Beranda,,publish,closed,closed,,beranda,,,21-02-16 14:55,21-02-16 14:55,,0,http://localhost/pedulikasih/?page_id=7,0,page,,0
8,1,20-02-16 7:43,20-02-16 7:43, ,,,publish,closed,closed,,8,,,21-02-16 16:05,21-02-16 16:05,,0,http://localhost/pedulikasih/2016/02/20/8/,1,nav_menu_item,,0
9,1,20-02-16 7:43,20-02-16 7:43,,Beranda,,inherit,closed,closed,,7-revision-v1,,,20-02-16 7:43,20-02-16 7:43,,7,http://localhost/pedulikasih/2016/02/20/7-revision-v1/,0,revision,,0
11,1,20-02-16 8:02,20-02-16 8:02,,indosiarpeduli_logo,,inherit,open,closed,,indosiarpeduli_logo,,,20-02-16 8:02,20-02-16 8:02,,0,http://localhost/pedulikasih/backend/wp-content/uploads/2016/02/indosiarpeduli_logo.jpg,0,attachment,image/jpeg,0
12,1,20-02-16 8:09,20-02-16 8:09,,indosiarpeduli_logo,,inherit,open,closed,,indosiarpeduli_logo-2,,,20-02-16 8:09,20-02-16 8:09,,0,http://localhost/pedulikasih/backend/wp-content/uploads/2016/02/indosiarpeduli_logo-1.jpg,0,attachment,image/jpeg,0
13,1,20-02-16 10:38,20-02-16 10:38,"Merujuk kepada Dasar Negara Republik Indonesia, Pancasila, dan alenia ke-4 Pembukaan Undang-Undang Dasar 1945, serta didorong oleh keinginan luhur untuk turut serta mewujudkan bangsa yang mandiri dan sejahtera, maka Perseroan tidak berhenti pada pencarian keuntungan finansial semata, tetapi juga berupaya memberikan sumbangsih bagi masyarakat banyak sesuai dengan tanggung jawab sosial perusahaan.

Wujud tanggung jawab sosial Perseroan dimulai sejak awal pendirian, berangkat dari lingkungan sekitar dan terus berkembang hingga menggapai seluruh masyarakat Indonesia tanpa terkecuali. Sebagai media penyampai informasi yang memiliki kemampuan menjangkau jutaan pemirsa secara cepat pada saat yang bersamaan, Perseroan senantiasa merasa terpanggil untuk memberikan kontribusi lebih bagi masyarakat Indonesia. Dengan dana yang berasal dari Perseroan dan kedermawanan sosial masyarakat (filantropi) yang digalang oleh Perseroan sebagai wujud kepedulian sosial serta bagian dari fungsi dan peran sosial media massa, Perseroan menyelenggarakan tiga program, yaitu : <a href=""http://www.indosiar.com/pedulikasih"">Peduli Kasih</a>, <a href=""http://www.indosiar.com/kitapeduli"">Kita Peduli</a>, dan <a href=""http://www.indosiar.com/pedulikomunitas"">Peduli Komunitas</a> di bawah payung Indosiar Peduli. Demi menjaga transparansi dan akuntabilitas, Laporan Keuangan Indosiar Peduli diaudit secara berkala oleh Kantor Akuntan Publik Independen. Seluruh dana yang dihimpun dari pemirsa dapat dipantau melalui <i>website</i> <a href=""http://www.indosiar.com"">www.indosiar.com</a>",Beranda,,inherit,closed,closed,,7-revision-v1,,,20-02-16 10:38,20-02-16 10:38,,7,http://localhost/pedulikasih/2016/02/20/7-revision-v1/,0,revision,,0
14,1,21-02-16 4:13,21-02-16 4:13,,Kita Peduli,,publish,closed,closed,,kita-peduli,,,21-02-16 15:37,21-02-16 15:37,,0,http://localhost/pedulikasih/?page_id=14,0,page,,0
